touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2.0, -2.0, ACCEL, 75811.6280667917, -0.042510986328125, -0.6536865234375, -0.737258911132812
-2.0, -2.0, ACCEL, 75811.6180267917, -0.06427001953125, -0.636550903320312, -0.745162963867188
-2.0, -2.0, ACCEL, 75811.6080167917, -0.0718536376953125, -0.677780151367188, -0.781539916992188
-2.0, -2.0, ACCEL, 75811.5979767917, -0.0914306640625, -0.65911865234375, -0.753677368164062
-2.0, -2.0, ACCEL, 75811.5879357917, -0.0851593017578125, -0.61358642578125, -0.727828979492188
-2.0, -2.0, ACCEL, 75811.5778957917, -0.063507080078125, -0.6470947265625, -0.751358032226562
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5678857917, -0.058441162109375, -0.646835327148438, -0.751007080078125
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5578457917, -0.055145263671875, -0.64422607421875, -0.759002685546875
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5478057917, -0.0557861328125, -0.659774780273438, -0.764892578125
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5377657917, -0.0641326904296875, -0.651626586914062, -0.756637573242188
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5277557917, -0.0697174072265625, -0.639602661132812, -0.75347900390625
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5177147917, -0.07232666015625, -0.651641845703125, -0.748321533203125
0.0986666666666667, 0.592203898050975, ACCEL, 75811.5076747917, -0.0699920654296875, -0.650985717773438, -0.736572265625
0.0986666666666667, 0.592203898050975, ACCEL, 75811.4976347917, -0.0702056884765625, -0.638916015625, -0.717132568359375
0.0986666666666667, 0.592203898050975, ACCEL, 75811.4875947917, -0.0674591064453125, -0.654190063476562, -0.727203369140625
0.0986666666666667, 0.592203898050975, ACCEL, 75811.4775847917, -0.0621795654296875, -0.664642333984375, -0.74908447265625
0.0986666666666667, 0.592203898050975, ACCEL, 75811.4675447917, -0.0594329833984375, -0.634262084960938, -0.714752197265625
0.0986666666666667, 0.592203898050975, ACCEL, 75811.4575037917, -0.0569305419921875, -0.637008666992188, -0.7327880859375
-2.0, -2.0, ACCEL, 75811.4474637917, -0.0531158447265625, -0.639419555664062, -0.762176513671875
-2.0, -2.0, ACCEL, 75811.4374432917, -0.058685302734375, -0.636489868164062, -0.792404174804688
-2.0, -2.0, ACCEL, 75811.4274032917, -0.0656890869140625, -0.625885009765625, -0.797348022460938
-2.0, -2.0, ACCEL, 75811.4173632917, -0.0639495849609375, -0.624893188476562, -0.806915283203125
-2.0, -2.0, ACCEL, 75811.4073222917, -0.064208984375, -0.626876831054688, -0.830856323242188
-2.0, -2.0, ACCEL, 75811.3973132917, -0.0573577880859375, -0.636276245117188, -0.824417114257812
-2.0, -2.0, ACCEL, 75811.3872722917, -0.0349273681640625, -0.6298828125, -0.819488525390625
-2.0, -2.0, ACCEL, 75811.3772322917, -0.02734375, -0.633773803710938, -0.809890747070312
-2.0, -2.0, ACCEL, 75811.3671922917, -0.0246734619140625, -0.652862548828125, -0.8001708984375
-2.0, -2.0, ACCEL, 75811.3571512917, -0.0208740234375, -0.664627075195312, -0.78717041015625
-2.0, -2.0, ACCEL, 75811.3471422917, -0.0249176025390625, -0.671249389648438, -0.774200439453125
-2.0, -2.0, ACCEL, 75811.3371012917, -0.0323486328125, -0.670166015625, -0.752792358398438
-2.0, -2.0, ACCEL, 75811.3270612917, -0.04254150390625, -0.65899658203125, -0.73065185546875
-2.0, -2.0, ACCEL, 75811.3170212917, -0.0603179931640625, -0.654769897460938, -0.713546752929688
-2.0, -2.0, ACCEL, 75811.3070112917, -0.0719451904296875, -0.6478271484375, -0.706466674804688
-2.0, -2.0, ACCEL, 75811.2969712917, -0.0770263671875, -0.651596069335938, -0.70660400390625
-2.0, -2.0, ACCEL, 75811.2869312917, -0.079193115234375, -0.658889770507812, -0.698211669921875
-2.0, -2.0, ACCEL, 75811.2768902917, -0.0711212158203125, -0.650604248046875, -0.690933227539062
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2668802917, -0.076446533203125, -0.659286499023438, -0.702255249023438
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2568402917, -0.0693817138671875, -0.659561157226562, -0.718063354492188
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2468002917, -0.049560546875, -0.662979125976562, -0.72735595703125
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2367602917, -0.0511016845703125, -0.666091918945312, -0.740936279296875
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2267192917, -0.0535430908203125, -0.665802001953125, -0.745849609375
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2167102917, -0.0507965087890625, -0.660507202148438, -0.746795654296875
-0.557333333333333, 0.808095952023988, ACCEL, 75811.2066692917, -0.0436859130859375, -0.657333374023438, -0.74798583984375
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1966292917, -0.03375244140625, -0.679428100585938, -0.75555419921875
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1865892917, -0.0225067138671875, -0.678817749023438, -0.75872802734375
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1765792917, -0.028167724609375, -0.68048095703125, -0.755218505859375
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1665392917, -0.0340576171875, -0.69769287109375, -0.761428833007812
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1564982917, -0.044158935546875, -0.688201904296875, -0.749465942382812
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1464582917, -0.05804443359375, -0.679168701171875, -0.727432250976562
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1364482917, -0.06024169921875, -0.67529296875, -0.7232666015625
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1264082917, -0.0553741455078125, -0.677276611328125, -0.714279174804688
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1163682917, -0.0516510009765625, -0.6798095703125, -0.715682983398438
-0.557333333333333, 0.808095952023988, ACCEL, 75811.1063282917, -0.04901123046875, -0.698699951171875, -0.725143432617188
-0.557333333333333, 0.808095952023988, ACCEL, 75811.0962872917, -0.051483154296875, -0.67913818359375, -0.70550537109375
-2.0, -2.0, ACCEL, 75811.0862772917, -0.054595947265625, -0.672683715820312, -0.70672607421875
-2.0, -2.0, ACCEL, 75811.0762372917, -0.0620574951171875, -0.671966552734375, -0.709640502929688
-2.0, -2.0, ACCEL, 75811.0661972917, -0.06231689453125, -0.670364379882812, -0.708587646484375
-2.0, -2.0, ACCEL, 75811.0561572917, -0.0519256591796875, -0.667007446289062, -0.711654663085938
-2.0, -2.0, ACCEL, 75811.0461472917, -0.0382843017578125, -0.667160034179688, -0.715240478515625
-2.0, -2.0, ACCEL, 75811.0361072917, -0.0197601318359375, -0.677215576171875, -0.722503662109375
-2.0, -2.0, ACCEL, 75811.0260662917, 0.0062713623046875, -0.691452026367188, -0.731246948242188
-2.0, -2.0, ACCEL, 75811.0160262917, 0.0250396728515625, -0.711654663085938, -0.735092163085938
-2.0, -2.0, ACCEL, 75811.0060162917, 0.029083251953125, -0.714218139648438, -0.736343383789062
-2.0, -2.0, ACCEL, 75810.9959762917, 0.021484375, -0.700881958007812, -0.732833862304688
-2.0, -2.0, ACCEL, 75810.9859362917, 1.52587890625e-05, -0.691452026367188, -0.726211547851562
-2.0, -2.0, ACCEL, 75810.9758952917, -0.028106689453125, -0.678787231445312, -0.716812133789062
-2.0, -2.0, ACCEL, 75810.9658552917, -0.0439300537109375, -0.6553955078125, -0.704742431640625
-2.0, -2.0, ACCEL, 75810.9558452917, -0.042510986328125, -0.663650512695312, -0.702865600585938
-2.0, -2.0, ACCEL, 75810.9458052917, -0.0295562744140625, -0.673812866210938, -0.715438842773438
-2.0, -2.0, ACCEL, 75810.9357652917, -0.012359619140625, -0.686508178710938, -0.716690063476562
-2.0, -2.0, ACCEL, 75810.9257242917, -0.0004425048828125, -0.712493896484375, -0.705429077148438
-2.0, -2.0, ACCEL, 75810.9157152917, 0.0070343017578125, -0.712814331054688, -0.699600219726562
-2.0, -2.0, ACCEL, 75810.9056742917, 0.0086822509765625, -0.714157104492188, -0.69793701171875
-2.0, -2.0, ACCEL, 75810.8956342917, 0.005035400390625, -0.71160888671875, -0.697601318359375
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8855942917, 0.0119781494140625, -0.698394775390625, -0.692230224609375
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8755842917, 0.0190887451171875, -0.69989013671875, -0.70147705078125
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8655442917, 0.0242156982421875, -0.7034912109375, -0.718414306640625
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8555042917, 0.0296783447265625, -0.700088500976562, -0.732803344726562
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8454632917, 0.02520751953125, -0.711883544921875, -0.73699951171875
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8354232917, 0.0126800537109375, -0.707611083984375, -0.743896484375
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8254132917, -0.0008697509765625, -0.699020385742188, -0.74578857421875
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8153732917, -0.0152130126953125, -0.69140625, -0.740341186523438
-0.646222249348958, 0.674162903289566, ACCEL, 75810.8053332917, -0.0350494384765625, -0.686965942382812, -0.724578857421875
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7952922917, -0.0356292724609375, -0.685821533203125, -0.704940795898438
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7852832917, -0.0166778564453125, -0.697799682617188, -0.694717407226562
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7752422917, 0.0042266845703125, -0.702682495117188, -0.7047119140625
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7652022917, 0.022857666015625, -0.721588134765625, -0.726104736328125
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7551622917, 0.04193115234375, -0.718551635742188, -0.726959228515625
-0.646222249348958, 0.674162903289566, ACCEL, 75810.7451522917, 0.012847900390625, -0.692550659179688, -0.748519897460938
-2.0, -2.0, ACCEL, 75810.7351122917, -0.0145416259765625, -0.699676513671875, -0.76324462890625
-2.0, -2.0, ACCEL, 75810.7250712917, -0.0358123779296875, -0.676300048828125, -0.743545532226562
-2.0, -2.0, ACCEL, 75810.7150312917, -0.0474090576171875, -0.67095947265625, -0.7335205078125
-2.0, -2.0, ACCEL, 75810.7049912917, -0.0420074462890625, -0.685623168945312, -0.725128173828125
-2.0, -2.0, ACCEL, 75810.6949812917, -0.030792236328125, -0.683380126953125, -0.719711303710938
-2.0, -2.0, ACCEL, 75810.6849412917, -0.033538818359375, -0.6876220703125, -0.7164306640625
-2.0, -2.0, ACCEL, 75810.6749012917, -0.0330810546875, -0.699462890625, -0.706100463867188
-2.0, -2.0, ACCEL, 75810.6648602917, -0.03302001953125, -0.696273803710938, -0.701797485351562
-2.0, -2.0, ACCEL, 75810.6548502917, -0.0351409912109375, -0.698684692382812, -0.69525146484375
-2.0, -2.0, ACCEL, 75810.6448102917, -0.032196044921875, -0.70770263671875, -0.690704345703125
